Datum;Von;bis;MW;Onshore MW;Offshore MW
01.01.19;00:00;00:15;8277,3;7256,16;1021,14
01.01.19;00:15;00:30;8502,05;7477,06;1024,99
01.01.19;00:30;00:45;8734,51;7705,69;1028,82
01.01.19;00:45;01:00;8960,9;7928,25;1032,65
01.01.19;01:00;01:15;9178,77;8142,29;1036,48
01.01.19;01:15;01:30;9380,93;8344,14;1036,79
01.01.19;01:30;01:45;9584,06;8546,96;1037,1
01.01.19;01:45;02:00;9787,26;8749,86;1037,4
01.01.19;02:00;02:15;9966,1;8928,4;1037,7
01.01.19;02:15;02:30;10141,32;9103,31;1038,01
01.01.19;02:30;02:45;10322,13;9283,81;1038,33
01.01.19;02:45;03:00;10507,85;9469,22;1038,63
01.01.19;03:00;03:15;10689,68;9650,74;1038,94
01.01.19;03:15;03:30;10843,07;9803,83;1039,24
01.01.19;03:30;03:45;11001,83;9962,28;1039,55
01.01.19;03:45;04:00;11157,92;10118,06;1039,86
01.01.19;04:00;04:15;11309,33;10269,16;1040,17
01.01.19;04:15;04:30;11461,6;10421,44;1040,16
01.01.19;04:30;04:45;11618,94;10578,8;1040,14
01.01.19;04:45;05:00;11775,39;10735,26;1040,12
01.01.19;05:00;05:15;11925,13;10885,02;1040,11
01.01.19;05:15;05:30;12101,84;11061,75;1040,1
01.01.19;05:30;05:45;12286,63;11246,55;1040,08
01.01.19;05:45;06:00;12472,22;11432,16;1040,07
01.01.19;06:00;06:15;12744,46;11704,41;1040,06
01.01.19;06:15;06:30;12911,4;11871,36;1040,04
01.01.19;06:30;06:45;13075,42;12035,4;1040,01
01.01.19;06:45;07:00;13225,21;12185,21;1040
01.01.19;07:00;07:15;13367,99;12328,01;1039,98
01.01.19;07:15;07:30;13450,43;12412,44;1038
01.01.19;07:30;07:45;13524,7;12488,69;1036,01
01.01.19;07:45;08:00;13598,11;12564,09;1034,02
01.01.19;08:00;08:15;13667,58;12635,55;1032,03
01.01.19;08:15;08:30;13713,98;12683,93;1030,04
01.01.19;08:30;08:45;13764,96;12736,9;1028,06
01.01.19;08:45;09:00;13842,59;12816,52;1026,06
01.01.19;09:00;09:15;13919,89;12895,81;1024,08
01.01.19;09:15;09:30;13971,37;12949,28;1022,09
01.01.19;09:30;09:45;14020,83;13000,73;1020,1
01.01.19;09:45;10:00;14054,08;13035,97;1018,11
01.01.19;10:00;10:15;14084,6;13068,47;1016,13
01.01.19;10:15;10:30;14055,33;13047,73;1007,6
01.01.19;10:30;10:45;14026,39;13027,31;999,07
01.01.19;10:45;11:00;14037,99;13047,45;990,54
01.01.19;11:00;11:15;14048,04;13066,02;982,02
01.01.19;11:15;11:30;14075,04;13105,5;969,54
01.01.19;11:30;11:45;14102,11;13145,04;957,06
01.01.19;11:45;12:00;14085,73;13156;929,73
01.01.19;12:00;12:15;14071,2;13168,8;902,4
01.01.19;12:15;12:30;14090,84;13219,62;871,22
01.01.19;12:30;12:45;14111,44;13271,4;840,03
01.01.19;12:45;13:00;14155,75;13336,25;819,5
01.01.19;13:00;13:15;14196;13397,03;798,97
01.01.19;13:15;13:30;14248,67;13446,54;802,13
01.01.19;13:30;13:45;14302,09;13496,8;805,28
01.01.19;13:45;14:00;14359,48;13551,04;808,44
01.01.19;14:00;14:15;14414,22;13602,62;811,6
01.01.19;14:15;14:30;14481,52;13653,02;828,49
01.01.19;14:30;14:45;14549,28;13703,89;845,39
01.01.19;14:45;15:00;14612,29;13750;862,29
01.01.19;15:00;15:15;14675,67;13796,49;879,18
01.01.19;15:15;15:30;14724,21;13838,22;886
01.01.19;15:30;15:45;14773,94;13881,13;892,81
01.01.19;15:45;16:00;14823,4;13915,63;907,77
01.01.19;16:00;16:15;14874,41;13951,67;922,74
01.01.19;16:15;16:30;14958,42;14027,17;931,25
01.01.19;16:30;16:45;15040,7;14100,93;939,76
01.01.19;16:45;17:00;15110,84;14168,14;942,7
01.01.19;17:00;17:15;15179,15;14233,52;945,63
01.01.19;17:15;17:30;15233,54;14282,25;951,29
01.01.19;17:30;17:45;15292,97;14336,02;956,95
01.01.19;17:45;18:00;15349,01;14394,01;955
01.01.19;18:00;18:15;15400,17;14447,12;953,06
01.01.19;18:15;18:30;15489,46;14532,06;957,4
01.01.19;18:30;18:45;15581,48;14619,73;961,75
01.01.19;18:45;19:00;15664,18;14698,1;966,08
01.01.19;19:00;19:15;15744,43;14774,03;970,4
01.01.19;19:15;19:30;15787,74;14817,15;970,59
01.01.19;19:30;19:45;15827,25;14856,48;970,77
01.01.19;19:45;20:00;15847,5;14876,55;970,95
